#Point,X(min),Y(Counts)
614,0.205,5.17E-05
615,0.205,5.21E-05
616,0.206,5.37E-05
617,0.206,5.48E-05
618,0.206,5.46E-05
619,0.207,5.42E-05
620,0.207,5.45E-05
621,0.207,5.48E-05
622,0.208,5.37E-05
623,0.208,5.19E-05
624,0.208,5.05E-05
625,0.209,5.09E-05
626,0.209,5.23E-05
627,0.209,5.46E-05
628,0.21,5.40E-05
629,0.21,5.07E-05
630,0.21,4.57E-05
631,0.211,4.45E-05
632,0.211,4.55E-05
633,0.211,4.93E-05
634,0.212,5.06E-05
635,0.212,5.20E-05
636,0.212,5.02E-05
637,0.213,4.94E-05
638,0.213,4.90E-05
639,0.213,4.92E-05
640,0.214,4.79E-05
641,0.214,4.63E-05
642,0.214,4.65E-05
643,0.215,4.85E-05
644,0.215,4.97E-05
645,0.215,4.96E-05
646,0.216,4.95E-05
647,0.216,5.03E-05
648,0.216,5.15E-05
649,0.217,5.15E-05
650,0.217,4.98E-05
651,0.217,4.75E-05
652,0.218,4.67E-05
653,0.218,4.69E-05
654,0.218,4.49E-05
655,0.219,4.30E-05
656,0.219,4.25E-05
657,0.219,4.67E-05
658,0.22,4.78E-05
659,0.22,4.83E-05
660,0.22,4.91E-05
661,0.221,5.20E-05
662,0.221,5.57E-05
663,0.221,5.60E-05
664,0.222,5.52E-05
665,0.222,5.17E-05
666,0.222,4.98E-05
667,0.223,4.88E-05
668,0.223,4.81E-05
669,0.223,4.86E-05
670,0.224,5.04E-05
671,0.224,5.26E-05
672,0.224,5.14E-05
673,0.225,4.96E-05
674,0.225,5.00E-05
675,0.225,5.22E-05
676,0.226,5.31E-05
677,0.226,4.97E-05
678,0.226,4.78E-05
679,0.227,4.97E-05
680,0.227,5.50E-05
681,0.227,5.91E-05
682,0.228,6.03E-05
683,0.228,6.02E-05
684,0.228,5.89E-05
685,0.229,5.61E-05
686,0.229,5.24E-05
687,0.229,5.13E-05
688,0.23,5.05E-05
689,0.23,5.18E-05
690,0.23,5.09E-05
691,0.231,5.25E-05
692,0.231,5.29E-05
693,0.231,5.55E-05
694,0.232,5.72E-05
695,0.232,5.73E-05
696,0.232,5.64E-05
697,0.233,5.49E-05
698,0.233,5.48E-05
699,0.233,5.26E-05
700,0.234,4.94E-05
701,0.234,4.72E-05
702,0.234,4.78E-05
703,0.235,4.90E-05
704,0.235,4.84E-05
705,0.235,4.69E-05
706,0.236,4.56E-05
707,0.236,4.44E-05
708,0.236,4.27E-05
709,0.237,4.05E-05
710,0.237,4.16E-05
711,0.237,4.34E-05
712,0.238,4.51E-05
713,0.238,4.54E-05
714,0.238,4.66E-05
715,0.239,4.62E-05
716,0.239,4.45E-05
717,0.239,4.23E-05
718,0.24,4.36E-05
719,0.24,4.70E-05
720,0.24,5.01E-05
721,0.241,4.91E-05
722,0.241,4.65E-05
723,0.241,4.56E-05
724,0.242,4.86E-05
725,0.242,4.97E-05
726,0.242,4.81E-05
727,0.243,4.54E-05
728,0.243,4.33E-05
729,0.243,4.26E-05
730,0.244,4.24E-05
731,0.244,4.18E-05
732,0.244,4.22E-05
733,0.245,4.34E-05
734,0.245,4.74E-05
735,0.245,4.83E-05
736,0.246,4.77E-05
737,0.246,4.64E-05
738,0.246,4.73E-05
739,0.247,4.82E-05
740,0.247,5.02E-05
741,0.247,4.90E-05
742,0.248,4.66E-05
743,0.248,4.47E-05
744,0.248,4.47E-05
745,0.249,4.59E-05
746,0.249,4.79E-05
747,0.249,4.92E-05
748,0.25,4.92E-05
749,0.25,4.86E-05
